推,噓,分數,作者,標題,時間
3,1,2,HayamaKami (台大彭于晏),[問卦] 請問台灣有空降消防員嗎,Sat Nov  9 07:18:16 2019
5,2,3,longyin (龍吟很難嗎？為什麼),Re,Sat Nov  9 11:28:05 2019
0,0,0,haijin (),[新聞] 出席金磚峰會 習近平將訪希臘、巴西,Sat Nov  9 08:17:12 2019
89,6,83,TName (真相就是指路燈 時間到了),[新聞] 川普：我尚未同意取消關稅 是中方想要,Sat Nov  9 10:01:17 2019
0,0,0,OusakaMegumu (逢坂恵夢),Re,Fri Nov  8 22:57:31 2019
0,3,-3,BD1983 (神氣活現),[問卦] 空氣清淨機,Sat Nov  9 09:45:19 2019
5,2,3,hmt17 (Popo:(bﾟ▽ﾟ)b),[問卦] 慟! 吉岡里帆變成喪屍的卦?,Fri Nov  8 23:37:23 2019
7,6,1,ep301177 (新竹山下智久),[問卦] 鮭魚煮湯還是煎的比較好？,Sat Nov  9 09:54:42 2019
7,2,5,s900144 (zaza),[問卦] 硬吃大王麻辣乾麵浪費健保無法可管嗎,Sat Nov  9 11:49:48 2019
6,3,3,kinggbic (kinggbic),[問卦] 台灣人被騙過一次容易再被騙嗎？,Sat Nov  9 10:31:31 2019
9,2,7,linhunk (hihihi),[問卦] 為什麼國高中小學 不用VR上學就好?,Sat Nov  9 03:21:17 2019
127,15,112,mikejason38 (阿@),[問卦] 有沒有出國7點還不起床的八卦,Sat Nov  9 08:56:04 2019
1,0,1,algebraic (algebraic),[問卦] 一天沒發滿兩篇會很虧嗎,Fri Nov  8 23:46:57 2019
12,1,11,xianyao (艾瑪),[新聞] 新橋站附近的公園裡發現埋藏女嬰屍體,Sat Nov  9 07:26:14 2019
68,5,63,SonyXperiaZ3 (覺青改五 領好多1450),[新聞] 過兩天才正式宣布！韓國瑜透露 副手找到,Fri Nov  8 23:50:32 2019
0,0,0,arsonlolita (蘿莉塔),[公告] 八卦板板規(2019.08.21),Wed Aug 21 08:33:39 2019
6,0,6,Nick87061319 (Nick),[問卦] 韓國是不是很愛subway ,Sat Nov  9 10:19:27 2019
19,7,12,ryohgi (青蛙錢包),[問卦] 怎麼繞過槍砲彈藥刀械管制條例？,Sat Nov  9 01:10:18 2019
52,0,52,qqqwsd (波波),[問卦] 第一個發明泡麵的是不是天才？,Sat Nov  9 02:25:51 2019
1,1,0,SaberMyWifi (賽巴),[問卦] 道奇毒蛇是來跟賓士搶什麼飲料妹啦,Sat Nov  9 00:35:56 2019
5,0,5,sasaki3630 (♥夏美子の老公 ♥),[問卦] 為何現在越來越多甲了?,Fri Nov  8 23:35:06 2019
13,3,10,wwf0322 (奴才),[新聞] 29歲廚師拿掃把瞄準同事屁屁！ 整根長柄,Sat Nov  9 08:16:48 2019
13,0,13,uwmtsa (補刀),Re,Sat Nov  9 04:06:50 2019
4,1,3,tomioki (Tomi),[問卦] 熊大上菜是不是一款很殘忍的遊戲？,Sat Nov  9 00:38:25 2019
8,0,8,emperor (愛派蘿ですがなにか？),[問卦] 日本妹子現在還流行瘋狂做愛心便當嗎?,Sat Nov  9 00:10:03 2019
18,11,7,xianyao (艾瑪),[公告] 水桶,Sat Nov  9 06:43:40 2019
38,1,37,samgreco (55),[新聞] 英國貨櫃車39死慘案　越南公安部證實：,Sat Nov  9 10:37:50 2019
18,9,9,sean12345678 (風),[問卦] 台北40萬，台中80萬，選哪個？,Fri Nov  8 23:55:17 2019
8,4,4,RLAPH (川尻浩作),[問卦] 小蘿莉想當YTer要拍什麼比較好？,Sat Nov  9 01:26:16 2019
4,4,0,CavendishJr (左是炎右是雷),[問卦] 果然還是雷姆好,Sat Nov  9 07:16:49 2019
4,0,4,bear2008 (阿兩:所長~~~~~),[問卦] 安齋らら是哪位日本女星 很紅嗎？,Sat Nov  9 08:23:28 2019
4,1,3,TigerMask (奇跡之虎),[問卦] 為什麼高進會用頭髮換牌那招啊？,Sat Nov  9 00:31:46 2019
7,1,6,Ironstick (鋼鐵蛇),[問卦] 明明要周休了 貓貓卻嗨不起來的八卦？,Sat Nov  9 01:01:12 2019
3,3,0,gracew0709 (小熊維尼·pooh雪芙寶貝),[問卦] 韓國瑜伽老師上課會亂教學生嗎,Sat Nov  9 01:04:02 2019
28,13,15,OdaTakeda (織田武田家),Re,Sat Nov  9 00:14:21 2019
7,28,-21,wang1b (唯i廢文<3),[問卦] 鷹流拉麵要吃哪家,Sat Nov  9 01:33:15 2019
11,0,11,MADUMA (水彩),[問卦] 說到富豪.建商.地主.財團會想到哪裡？,Sat Nov  9 08:53:04 2019
9,2,7,skywould (賽普勒斯),[問卦] 一篇好的廢文要包含哪些點?,Sat Nov  9 01:24:18 2019
2,3,-1,gg0815 (O0O0O0O0O0O0O0),[問卦] 掉頭髮的八卦,Sat Nov  9 03:21:50 2019
28,7,21,Asclepius (天...無言),"[新聞] 前九月稅收1兆8,693億元 創歷年新高",Sat Nov  9 10:02:26 2019
0,2,-2,Ayanami5566 (綾波五六),[問卦] 福利熊的薪水有多少?,Fri Nov  8 23:53:05 2019
16,4,12,AngryYouth (森寶),[新聞] 下面狂變大 男嗨炫褲穿不下 醫一看嘆切掉,Sat Nov  9 00:42:57 2019
7,2,5,XperiaZ6C (索尼),[問卦] 能躲子彈還不夠快嗎,Sat Nov  9 06:59:20 2019
3,2,1,Rasin (雷森),[問卦] 聘請員工性別的八卦,Sat Nov  9 00:03:58 2019
2,2,0,planA (planA),[問卦] 這是什麼蟲？,Sat Nov  9 10:42:29 2019
9,3,6,lpbrother (LP哥(LP = Love & Peace)),[問卦] 台大怎不要多蓋幾棟宿舍讓年輕人住？,Sat Nov  9 07:39:05 2019
7,0,7,s910 (s910),[問卦] 有沒有大家總是覺得宜蘭很小的八卦?,Fri Nov  8 23:13:07 2019
8,7,1,Tapqou (三三三),[新聞] 這些商圈客人不見了…學校停辦、北遷 衝,Sat Nov  9 09:22:08 2019
4,1,3,Rrrxddd (柯韓粉RR),[問卦] 大家推薦 什麼有噴宵夜,Sat Nov  9 03:32:46 2019
2,0,2,bul (腹內原來草莽),[問卦] 會不會這兩天開始全台豪宅大搜查的卦?!,Sat Nov  9 10:21:59 2019
1,4,-3,songgood (ilovegoodgame),Re,Sat Nov  9 09:07:35 2019
7,2,5,vodkalime607 (一直跑下去),[新聞] SOGO周年慶 台北三店首日飆11億,Sat Nov  9 08:36:33 2019
8,0,8,cj4385283 (Linhi),[問卦] 業務接到學校的單是不是很爽,Sat Nov  9 00:35:43 2019
13,2,11,newhander (新警察),Re,Sat Nov  9 11:04:36 2019
3,0,3,ki43oscar (一式戰－隼),[問卦] 地區的產業一條街,Fri Nov  8 23:28:25 2019
8,1,7,sHakZit75 (我還是做得到ㄉ),[問卦] 要去看紫羅蘭永恆花園,Sat Nov  9 03:17:21 2019
10,2,8,funasake (),[問卦] 夜市賣什麼最賺？,Sat Nov  9 11:13:26 2019
0,0,0,soul5566 (校排前五帥),Re,Sat Nov  9 01:32:01 2019
3,0,3,liang691206 (liang691206),Re,Sat Nov  9 08:49:41 2019
0,4,-4,MiLuDaiBoom (ⓂⓛⓁⓤⒹⓐⓛⒷⓞⓞⓂ),[問卦] 身旁的男男女女感覺渴求愛情,Sat Nov  9 02:48:51 2019
17,12,5,radiohead56 (L o S e r f a t n e r D),[新聞] 干預台灣大選 美智庫：中國積極散播挺韓,Sat Nov  9 00:11:56 2019
4,3,1,doraBBO (天才小釣手),[問卦] 會相信紐約租金中位數1300鎂是怎樣的人？,Sat Nov  9 10:39:45 2019
23,0,23,ramataiwan (rama),[新聞] 外送App店內價 竟比實體店面購餐貴,Sat Nov  9 06:38:38 2019
2,5,-3,tony121010 (為什麼不給我神奇ID),Re,Fri Nov  8 23:04:40 2019
3,0,3,wjes30325 (台灣的駕駛很棒),Re,Sat Nov  9 05:08:39 2019
4,5,-1,cosmite (Z),[問卦] 搶五樓的人變少了？過氣了嗎？,Sat Nov  9 00:12:29 2019
5,0,5,GODLP (神鳥鳳凰),[問卦] 艾倫準備好了 你們準備好了嗎?,Fri Nov  8 23:39:00 2019
3,1,2,mayingnine (個性決定能否投資賺大錢),[問卦] 有沒有可能一年後 王思聰,Sat Nov  9 10:44:37 2019
0,0,0,eric999 (eric999),Re,Sat Nov  9 10:24:10 2019
8,3,5,deathdecay (AZOTH),[新聞] 宋楚瑜若參選 韓國瑜:他對我的影響比較大,Fri Nov  8 23:06:18 2019
2,12,-10,D600dust (雙標文字獄代PO仔),[問卦] 要離職 要怎麼掰理由,Sat Nov  9 09:59:58 2019
33,3,30,cutiehoneyzu (McHilo),[問卦] 台灣近幾年真的沒有出現知名藝人嗎？,Fri Nov  8 22:57:50 2019
2,0,2,DeltaX (憨9),[問卦] 有沒有最好交情見面初的掛,Fri Nov  8 23:16:17 2019
3,0,3,chekove (tit for tat),[問卦] 請問一下如何判斷打壓或友善啊?,Sat Nov  9 06:16:22 2019
13,21,-8,sevenzgod (7z),[問卦] 為什麼統獨議題都大過民生議題,Sat Nov  9 02:27:59 2019
20,1,19,wwewcwwwf (台灣老闆不要的廢物垃圾),[問卦] 倫敦和附近有啥好玩的?,Sat Nov  9 01:43:51 2019
1,1,0,f17690815 (我恨陣頭),[問卦] 網美知道粉絲都只看圖嗎？,Fri Nov  8 23:51:09 2019
2,0,2,huabandd (我是阿肥巴你頭),Re,Sat Nov  9 11:29:16 2019
9,1,8,a2470abc (D.F.),[問卦] 比較主流的職業中哪個最操？,Sat Nov  9 06:54:00 2019
20,8,12,Abobe (寶嗚),[問卦] 為什麼很多人都喜歡曬小孩,Sat Nov  9 11:05:07 2019
8,1,7,james11song (張嘉航),[問卦] 退後十三步...？,Sat Nov  9 07:59:42 2019
13,3,10,gostjoke (鬼笑話),[問卦] 人被強姦久了是不是就習慣了？,Sat Nov  9 10:39:36 2019
7,1,6,sazabik (SAZABI),Re,Sat Nov  9 06:41:01 2019
8,1,7,CavendishJr (左是炎右是雷),[新聞] 南韓2025年廢除菁英高中 改善社會不平等,Sat Nov  9 08:21:43 2019
5,0,5,aliloveyou (Ali),[問卦] 秒讀秒回是不是很沒禮貌？,Sat Nov  9 04:34:37 2019
223,41,182,excell (Soft On Demand),[新聞] 推薦截止 國民黨不分區決選名單「點將錄,Sat Nov  9 00:26:00 2019
4,0,4,maybetodo (np),[問卦] 專門幫人培養人才的稱為什麼？？,Fri Nov  8 23:13:10 2019
3,1,2,clever0705 (小卒),[問卦] 學公民與道德要幹嘛,Fri Nov  8 23:54:59 2019
6,0,6,ffreakk (),Re,Fri Nov  8 23:51:21 2019
5,0,5,Jyery (文弟),Re,Sat Nov  9 11:44:49 2019
0,0,0,qqmaybenot (qq),Re,Sat Nov  9 10:29:32 2019
3,1,2,AngryYouth (森寶),[問卦] 為什麼我都沒有被水桶,Sat Nov  9 00:25:54 2019
58,5,53,lunqun35 (Sweet Caroline),[問卦] 南拳媽媽當年有多紅？,Sat Nov  9 00:52:45 2019
3,0,3,honkwun (反皮草 拒絕血腥時尚),[新聞] 不忍樹木被塑膠袋環繞 前進設計之都米蘭,Sat Nov  9 10:59:27 2019
152,6,146,RodrigueZ810 (裝小維),Fw,Sat Nov  9 10:40:08 2019
14,10,4,usl2736 (優欸斯诶樓二七三六),[問卦] 小菸來板橋幹嘛？,Sat Nov  9 09:31:50 2019
15,4,11,weeklyquiz (五樓愛露屌),[問卦] 女生小隻叫小隻馬那男生呢,Sat Nov  9 11:53:58 2019
19,1,18,Jacky83502 (qqq99110),[新聞] 新竹市2021台灣燈會設6大燈區 主燈區在新竹公園,Sat Nov  9 00:41:15 2019
2,0,2,maybetodo (np),[問卦] 屁股毛是什麼毛？？,Fri Nov  8 23:28:28 2019
3,4,-1,timetolove (艾爾不怕西諾),[問卦] 欸欸，現在爆雷魔鬼終結者會不會被噓,Sat Nov  9 01:26:17 2019
4,0,4,firsttiti (你在就好了),[問卦] 火車站建築材料的八卦,Sat Nov  9 09:37:14 2019
0,7,-7,fox1234 (狐醜大將軍),[問卦] 饒河夜市是不是種類很少,Sat Nov  9 03:41:42 2019
14,2,12,koheik2 (ko),[問卦] 中山醫大 賺最多 為何排名總是吊車尾?,Sat Nov  9 03:53:46 2019
1,1,0,yuzukineko (閃亮三叔公),[問卦] 提早醒來要怎麼辦？,Sat Nov  9 08:17:29 2019
42,4,38,z5419 (邱哥),[問卦] 最喜歡的AV女優,Sat Nov  9 02:27:11 2019
67,55,12,jay401401 (DDDDD),[爆卦] 無法解釋的靈異現象,Sat Nov  9 00:45:19 2019
4,0,4,viable (隱士灰原I),[問卦] 科學界為什麼不直接改寫相對論?,Sat Nov  9 08:08:50 2019
67,187,-120,zzyyxx77 (討噓大師77),[新聞] 怒批蔡英文執政　韓國瑜：幾流人民選出幾,Sat Nov  9 08:07:44 2019
13,3,10,slb19930308 (斯羅逼),[問卦] 考上高考的女生常批評阿宅怎麼辦？,Sat Nov  9 08:51:21 2019
62,47,15,kades (kades),[新聞] 台中冷血男吃醋殺女友！「孩子沒媽媽太可,Sat Nov  9 09:19:36 2019
18,4,14,wuyiulin (機掰客家人),[問卦] 23歲生日該怎麼慶祝？,Sat Nov  9 06:49:43 2019
5,2,3,wangyc (粒咲杏子的老公),[問卦] 頭皮屑很多的人理光頭,Sat Nov  9 00:35:56 2019
30,8,22,JUNOCARE (陽光！！),[問卦] 鬼滅已經取代海賊 成為最賣座漫畫,Sat Nov  9 01:11:39 2019
4,1,3,gk1329 (),Re,Sat Nov  9 11:01:16 2019
7,0,7,fatotaku (死肥宅),Re,Fri Nov  8 22:54:16 2019
2,0,2,mithralin (工口),[新聞] 臉書張貼淹水照明顯合成 新北檢不起訴,Sat Nov  9 11:55:41 2019
3,1,2,bota (llll),[問卦] 當年英國真的有叫蘇聯鎮壓?,Sat Nov  9 10:11:56 2019
10,1,9,math520 ( ),[問卦] 月薪制比較好還是時薪制的卦,Sat Nov  9 09:39:51 2019
8,3,5,chamge7788 (經濟王7887),[問卦] 拉肚子肛門痛吃正露丸23顆夠嗎,Fri Nov  8 23:00:43 2019
35,1,34,xyz4594 (享受被噓的快感),[問卦] 有吃過養老乃瀧的人現在都幾歲了?,Sat Nov  9 10:37:57 2019
2,1,1,eeth (韓國綜藝社),[新聞] 晒帶龍鳳胎游泳合照 李英愛獲讚母愛爆棚,Sat Nov  9 11:15:55 2019
1,0,1,kiddking (孩子王),[問卦] 為什麼要用地區來分配民代名額？,Fri Nov  8 23:38:14 2019
7,3,4,liang691206 (liang691206),[問卦] 台灣是不是要假清高 裝窮才能成功? ,Sat Nov  9 08:39:45 2019
10,8,2,vi000246 (Vi),[問卦] 明年該回去投票嗎,Sat Nov  9 11:12:03 2019
2,0,2,viable (隱士灰原I),Re,Fri Nov  8 23:42:53 2019
2,0,2,a22298811 (鐵達尼號),[問卦] 誰敢在中韓大戰時狂喊韓國加油呢,Sat Nov  9 02:06:30 2019
20,0,20,wuyiulin (機掰客家人),Re,Sat Nov  9 04:04:03 2019
27,0,27,WeGoYuSheng ( ♂開啟另一道薇閣的門♂),[新聞] 法文化部高官下藥 女性應徵者尿急被迫在他面前尿尿,Sat Nov  9 11:36:29 2019
26,32,-6,Plot3D (3D做圖),[新聞] 蔡壁如邀黃國昌入不分區引發時力群組內訌,Sat Nov  9 09:20:11 2019
1,19,-18,glassspirit (),［問卦］請問這行為是？,Sat Nov  9 10:48:17 2019
2,5,-3,timetolove (艾爾不怕西諾),[問卦] 欸欸，電影售票員好正,Fri Nov  8 23:01:32 2019
8,14,-6,KTR5566 (KTR),[問卦] 150名台勞被中國人強行解雇沒人討論？,Sat Nov  9 11:17:46 2019
10,1,9,ffreakk (),[問卦]炸毛是什麼意思,Fri Nov  8 23:11:13 2019
67,3,64,imericlai (),[問卦] 中共曾經也宣傳要民主嗎？,Sat Nov  9 08:06:41 2019
3,2,1,poeta (鍵盤詩人),[問卦] 哪一家賣的玉湯比較好喝,Sat Nov  9 00:33:31 2019
1,2,-1,sheng612 (無聊的人),Re,Fri Nov  8 22:56:53 2019
4,0,4,viable (隱士灰原I),[問卦] 他人寫的跟我幻聽夢境同步代表?,Fri Nov  8 23:07:50 2019
7,4,3,andonie (台北的天空),[問卦] ASP.net語法與模型 每幾年一變是怎樣,Sat Nov  9 02:09:18 2019
6,4,2,VortexSheet (哦?),[問卦] 有沒有公司監測上網流量的八卦!,Sat Nov  9 08:58:05 2019
3,1,2,DeltaX (憨9),Re,Sat Nov  9 10:48:02 2019
8,4,4,milkBK (blitzkrieg比較低),[問卦] 古人被貶到花蓮會寫文學來抒發嗎？,Sat Nov  9 10:31:47 2019
8,0,8,akway (生活就是要快樂),[新聞] 美中同意取消加徵關稅？ 川普否認,Sat Nov  9 08:03:10 2019
5,2,3,gk1329 (),Re,Sat Nov  9 11:14:42 2019
2,1,1,FastGunMan ( ),[新聞] 轉發「李遠哲爆料蔡英文心中沒有下一代」,Sat Nov  9 11:56:24 2019
2,1,1,Thaichonburi (Hello 你好嗎 衷心感謝),Re,Sat Nov  9 06:23:20 2019
14,3,11,ThisisLongID (長哀滴),Re,Fri Nov  8 23:36:12 2019
8,4,4,fangbr (小肥),[問卦] 驚！Toya Koyo正在和Sai對弈！？,Sat Nov  9 01:02:54 2019
6,3,3,Zeke00 (齊克00),[問卦] 半夜不睡覺容易肚子餓？,Sat Nov  9 02:22:14 2019
9,0,9,ShinozakiAki (要認真˙),Re,Sat Nov  9 08:37:30 2019
1,1,0,UWinKing (尾刀狗本人OuO♥),[問卦] 會把湯匙筷子舔乾淨放回去ㄇ?,Sat Nov  9 02:08:59 2019
2,1,1,slycsboy (帆月),Re,Sat Nov  9 08:16:32 2019
6,1,5,ezJapan (Japan),[問卦] 韓國軍人也卡我們的子瑜,Fri Nov  8 23:51:40 2019
84,3,81,AaronEckhar (Aaron會比緬因州還要熱。),[新聞] 連戰邀談輔選 馬朱韓缺席 吳洪早退,Sat Nov  9 09:12:42 2019
3,2,1,lightwish (穹願),[新聞] 長春長生宣告破產 曾深陷疫苗醜聞,Fri Nov  8 23:43:44 2019
7,3,4,hank49172008 (love yumirin),[問卦] IZONE還有救嗎?,Fri Nov  8 23:50:07 2019
2,2,0,HappyDiD (開心的動一動),[問卦] 喝拿鐵會不會變胖啊？,Sat Nov  9 10:33:09 2019
9,30,-21,hello456 (好無聊......),[新聞] 韓國瑜全國競總設高雄市 歷來總統大選首,Sat Nov  9 10:14:37 2019
2,3,-1,shampoopoo (毛寶洗髮精是了),[問卦] 教授上課耍帥怎麼辦？,Sat Nov  9 05:16:23 2019
9,2,7,jorry111111 (andy),[問卦] 奈良的餓鬼鹿和仙鹿,Sat Nov  9 11:03:04 2019
6,1,5,D600dust (雙標文字獄代PO仔),[問卦] 囚徒困境 怎樣讓其他人最錯愕,Sat Nov  9 10:07:19 2019
9,38,-29,teramars (tomorrow never knows),[新聞] 韓國瑜嘆青年被置入負面元素：亡國感、主,Sat Nov  9 11:46:46 2019
